"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RAB11FIP1"	5.10766615125046e-22	-0.309861721187608	0.118	0.269	8.38832012019862e-18
"RP11-758H9.2"	5.24713218710735e-22	-0.254875756758683	0.034	0.136	8.61736519088639e-18
"PECAM1"	8.63910192801927e-21	-0.27904829548586	0.211	0.388	1.41879970963861e-16
"CITED2"	2.28968038598583e-20	-0.265105574406277	0.125	0.274	3.76034209790452e-16
"CD79B"	3.05290187590899e-20	-0.265610684069226	0.068	0.188	5.01378075080533e-16
"HIST2H2AC"	3.39079635354441e-20	-0.251386405744993	0.032	0.127	5.56870485142599e-16
"RHOC"	4.48415312872346e-20	-0.389072327058282	0.116	0.251	7.36432468330254e-16
"TUBB"	1.480398226833e-19	-0.250758658904578	0.127	0.272	2.43125800792784e-15
"FCGR3A"	1.87087308923307e-17	-0.889804235215362	0.216	0.344	3.07253487444746e-13
"MS4A7"	1.96657998796604e-17	-0.294659435186803	0.269	0.442	3.22971431423663e-13
"CTSC"	3.00900970439421e-15	-0.258522061984021	0.288	0.454	4.94169663752661e-11
"RPPH1"	3.49888382729166e-13	-0.308693760687015	0.078	0.172	5.74621690956109e-09
