"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"ITGB1"	1.36365626057572e-150	-0.398609548184549	0.175	0.329	2.2395326767435e-146
"HN1"	2.02451707712441e-150	-0.32879881256578	0.048	0.152	3.32486439576142e-146
"HLA-DOB"	3.10004751239164e-150	-0.305968132100776	0.09	0.22	5.09120802960079e-146
"SLC25A3"	5.96223685775009e-150	-0.301448376732712	0.226	0.402	9.79178159148298e-146
"SP140"	1.30820349475687e-149	-0.281775033087147	0.069	0.188	2.1484625994392e-145
"ATP5L"	1.7456698854574e-149	-0.273073458935467	0.529	0.731	2.86691365288669e-145
"DYNLRB1"	5.63629691860886e-149	-0.294784906147458	0.137	0.286	9.25649042943133e-145
"DYNLL1"	8.27282093291679e-149	-0.320946154003974	0.368	0.562	1.35864538181292e-144
"APEX1"	6.3049278418735e-148	-0.31396533214947	0.119	0.26	1.03545829947088e-143
"HLA-DQA1"	8.85927085204593e-148	-0.290861822305713	0.503	0.694	1.4549580520315e-143
"MRPL51"	2.44586155276648e-147	-0.334527908939236	0.132	0.277	4.01683842810838e-143
"DRAP1"	2.46212632699245e-147	-0.252701746432904	0.306	0.502	4.04355006681971e-143
"PARK7"	2.97640199487418e-147	-0.270527739086512	0.299	0.49	4.88814499618187e-143
"CHMP4B"	2.62969652651886e-146	-0.259637769530008	0.066	0.18	4.31875060550192e-142
"HIGD2A"	6.10068149606202e-146	-0.288735056976617	0.268	0.45	1.00191492209827e-141
"GRN"	7.45073154617727e-146	-0.264006296075266	0.239	0.418	1.22363364182869e-141
"RPL36AL"	1.48765501529622e-145	-0.255478899122784	0.5	0.706	2.44317583162098e-141
"QRSL1"	2.11997768134129e-145	-0.315406548851599	0.224	0.394	3.48163934606681e-141
"SLC25A5"	2.34287568161464e-145	-0.293627326344615	0.184	0.347	3.84770473191572e-141
"RPL36A"	2.53890125917818e-145	-0.314680067406404	0.603	0.765	4.16963753794832e-141
"GCHFR"	3.90885423400298e-145	-0.255804201032504	0.104	0.239	6.41951130850309e-141
"USMG5"	1.94448701684157e-144	-0.263025350161542	0.224	0.398	3.19343102775892e-140
"NUDT1"	2.26979644912586e-144	-0.288363276073206	0.044	0.143	3.72768670839941e-140
"IGFLR1"	2.72725248436059e-144	-0.278337657229432	0.032	0.122	4.4789667550654e-140
"SCAND1"	1.02370855740951e-141	-0.269167489210307	0.138	0.285	1.68123656383364e-137
"DDX3X"	1.70685307454523e-141	-0.316447786891425	0.131	0.272	2.80316480432563e-137
"NCF4"	2.3780440061866e-141	-0.279857299351387	0.127	0.269	3.90546167136026e-137
"SELL"	2.9968610562011e-141	-0.299933334593958	0.208	0.376	4.92174491259907e-137
"DDAH2"	2.28360133559635e-140	-0.289341594448572	0.061	0.169	3.75035847344989e-136
"CTSH"	5.18553729592456e-140	-0.272833002982476	0.189	0.352	8.51620790109691e-136
"ATP5A1"	8.8724906875527e-140	-0.263756811128535	0.264	0.445	1.45712914561678e-135
"ROMO1"	7.65433658614193e-139	-0.25766759818746	0.146	0.294	1.25707169754209e-134
"ARHGAP25"	1.64529549048228e-138	-0.277569328309092	0.11	0.243	2.70206878401905e-134
"ARPC4"	9.94998319459309e-137	-0.256849687366091	0.12	0.259	1.63408574004802e-132
"PATL2"	1.62343047823937e-135	-0.301485378199112	0.047	0.143	2.66615987441252e-131
"FMOD"	6.83800706555714e-135	-0.298818723130156	0.062	0.169	1.12300590037645e-130
"TRAPPC6A"	7.60083295527285e-133	-0.278535985531574	0.085	0.202	1.24828479624446e-128
"NDUFB4"	1.85308170939365e-132	-0.253445255267178	0.175	0.328	3.0433160913372e-128
"DPEP2"	2.4654405031086e-132	-0.250584506007322	0.061	0.167	4.04899293825525e-128
"LDHB"	7.04140094234066e-132	-0.301581577519959	0.228	0.391	1.15640927676061e-127
